Operator 1,,,,,,Operator 2,,,,,,Operator 3,,,,
Manual,,,Blended,,,Manual,,,Blended,,,Manual,,,Blended,
Cycle Time,Dirt Mass,,Cycle Time,Dirt Mass,,Cycle Time,Dirt Mass,,Cycle Time,Dirt Mass,,Cycle Time,Dirt Mass,,Cycle Time,Dirt Mass
15.87,1.5,,18.24,1.7,,28.716,1.9,,26.798,1,,32.08,0.3,,22.36,0.9
10.62,1,,16.41,1.7,,26.446,1.3,,20.898,1.4,,19.58,0.7,,19.13,1.3
12.72,2,,15.51,2,,32.886,1.5,,27.928,0.9,,28.73,0.3,,27.81,0.8
14.61,1.5,,16.19,1,,34.316,1.3,,24.088,1.7,,16.99,0.3,,26.38,0.7
13.14,1.5,,16.68,1.7,,30.716,1.2,,23.478,2,,29.27,0.5,,27.07,0.4
15.11,1.5,,15.83,2,,31.436,1.8,,20.235,1.6,,37.369,1,,17.667,1.5
11.93,1.5,,15.01,1.5,,19.956,1.2,,15.318,1.5,,21.779,0.3,,20.297,0.5
17.17,2,,17.04,1.5,,32.356,1,,20.508,0.9,,31.829,1.4,,39.697,0.2
12.72,1.5,,22.16,1,,28.906,1.7,,23.578,1.5,,27.399,0.5,,19.487,1
21.26,1,,15.47,1.5,,32.116,1.1,,23.368,1.7,,20.869,0.8,,27.937,0.2
16.187,2.25,,,,,29.47,1,,27.361,1.5,,21.904,0.3,,23.45,0.8
13.38,1.25,,,,,26.176,1.7,,20.928,1.5,,18.074,1,,16.68,1
17.86,1.5,,,,,38.836,1.5,,17.898,1,,19.884,0.5,,24.63,1
12.77,1.5,,,,,31.516,1.3,,18.228,1,,22.074,0.7,,37.02,0.4
14.99,1,,,,,34.016,1.6,,17.158,1,,,,,25.72,0.2
